1 ackermann teyjus 0 0 0 0 elpi 1 1 -0 1984 
2 beta teyjus 0 0 0 0 elpi 1 1 -0 1956 
3 checkers teyjus 164 164 -75 4364 elpi 89 89 -0 3556 
4 crypt teyjus 1826 1826 -706 6388 elpi 1123 1120 -0 15076 
5 cut teyjus 0 0 0 0 elpi 1 1 -0 1972 
6 cut2 teyjus 0 0 0 0 elpi 1 1 -0 2004 
7 cut3 teyjus 0 0 0 0 elpi 1 1 -0 1988 
8 cut4 teyjus 0 0 0 0 elpi 1 1 -0 1956 
9 cut5 teyjus 0 0 0 0 elpi 1 1 -0 1980 
10 cut6 teyjus 0 0 0 0 elpi 1 1 -0 1956 
11 fast_mu teyjus 565 565 -82 1824 elpi 486 483 -0 3588 
12 fragment_exit teyjus 0 0 0 0 elpi 1 1 -0 1964 
13 fragment_exit2 teyjus 0 0 0 0 elpi 1 1 -0 1984 
14 fragment_exit3 teyjus 0 0 0 0 elpi 1 1 -0 1976 
15 fun_trans teyjus 15 15 -0 5792 elpi 0 0 0 0 
16 general_case teyjus 0 0 0 0 elpi 1 1 -0 1992 
17 general_case2 teyjus 0 0 0 0 elpi 1 1 -0 1960 
18 general_case3 teyjus 0 0 0 0 elpi 2 2 -0 1968 
19 grundlagen teyjus 0 0 0 0 elpi 5583 4294 -0 156300 
20 hc_interp teyjus 0 0 0 0 elpi 1 1 -0 2216 
21 hilbert teyjus 1 1 -0 1496 elpi 0 0 0 0 
22 hilbert2 teyjus 1 1 -0 3504 elpi 0 0 0 0 
23 ho teyjus 0 0 0 0 elpi 1 1 -0 1984 
24 impl teyjus 0 0 0 0 elpi 1 1 -0 1992 
25 impl2 teyjus 0 0 0 0 elpi 1 1 -0 1980 
26 lambda teyjus 0 0 0 0 elpi 1 1 -0 1952 
27 lambda2 teyjus 0 0 0 0 elpi 1 1 -0 1960 
28 lambda3 teyjus 1267 1267 -1174 119772 elpi 93 93 -0 2912 
29 lambdadelta teyjus 0 0 0 0 elpi 3 3 -0 2760 
30 llam teyjus 0 0 0 0 elpi 2 2 -0 2540 
31 logic teyjus 2 2 -0 1540 elpi 3 3 -1 2892 
32 mu teyjus 842 842 -201 24312 elpi 643 641 -0 3212 
33 ndprover teyjus 2 2 -0 1628 elpi 2 2 -0 2948 
34 patternunif teyjus 0 0 0 0 elpi 1 1 -0 1976 
35 patternunif2 teyjus 0 0 0 0 elpi 1 1 -0 1988 
36 pcf teyjus 8 8 -0 4556 elpi 0 0 0 0 
37 pi teyjus 0 0 0 0 elpi 1 1 -0 1984 
38 pi3 teyjus 0 0 0 0 elpi 1 1 -0 1964 
39 pi5 teyjus 0 0 0 0 elpi 1 1 -0 1972 
40 progs teyjus 3 3 -0 3780 elpi 0 0 0 0 
41 queens teyjus 518 518 -26 32820 elpi 495 492 -0 54240 
42 reduce_cbn teyjus 223 223 -114 48704 elpi 111 109 -0 4636 
43 reduce_cbn_nocopy teyjus 137 137 -0 33252 elpi 0 0 0 0 
44 reduce_cbv teyjus 2655 2655 -2604 29472 elpi 51 51 -0 3880 
45 reduce_cbv_nocopy teyjus 2624 2624 -0 26344 elpi 0 0 0 0 
46 restriction teyjus 0 0 0 0 elpi 1 1 -0 1956 
47 rev teyjus 0 0 0 0 elpi 33 33 -0 11208 
48 rev14 teyjus 42 42 -9 23028 elpi 33 33 -0 11208 
49 rev15 teyjus 0 0 0 0 elpi 65 65 -0 19896 
50 rev16 teyjus 0 0 0 0 elpi 132 130 -0 37224 
51 rev17 teyjus 0 0 0 0 elpi 259 256 -0 71816 
52 rev18 teyjus 0 0 0 0 elpi 526 523 -0 141068 
53 self_assignment teyjus 0 0 0 0 elpi 1 1 -0 1996 
54 trail teyjus 0 0 0 0 elpi 1 1 -0 1988 
55 zebra teyjus 489 489 -211 7800 elpi 280 278 -0 3668 
